rank,price_eur,predicted_fair_price,discount_eur,discount_pct,sale_prob_14d,deal_score,model_number_v2,variant,mileage_km,vehicle_age_months,power_kw,electric_range_km,city,seller_name,seller_type,is_s_line,is_quattro,has_matrix,had_accident_clean,listing_url,title
1,47890,50384.1385103514,2494.0,4.9,0.9476228,2363.0,55,Q4 e-tron,9950,28.0,250.0,491,Burgoberbach,Audi Burgoberbach | Feser-Graf,Dealer,True,True,True,False,https://www.autoscout24.com/offers/audi-q4-e-tron-55-quattro-s-line-ahk-matrix-electric-grey-7ce1c043-e7e0-403b-8645-f39fb062b957,Audi Q4 e-tron 55 quattro - S LINE - AHK - MATRIX -
2,47890,49751.50049353931,1862.0,3.7,0.8837579,1646.0,55,Q4 e-tron,6050,28.0,250.0,492,Burgoberbach,Audi Burgoberbach | Feser-Graf,Dealer,True,False,True,,https://www.autoscout24.com/offers/audi-q4-e-tron-55-qu-ahk-s-line-matrix-acc-electric-blue-0735e305-4e89-4e1b-9b3e-ef9ddde1b857,Audi Q4 e-tron 55 qu. - AHK - S LINE - MATRIX - ACC
3,47980,49710.76490160067,1731.0,3.5,0.95115393,1646.0,55,Q4 e-tron,9850,27.0,250.0,491,Schwabach,Feser GmbH,Dealer,True,False,True,False,https://www.autoscout24.com/offers/audi-q4-e-tron-55-qu-2x-s-line-ahk-matrix-360-waermepumpe-electric-grey-599047c8-d9c2-4e98-9614-2eaf9265dc0b,Audi Q4 e-tron 55 qu 2x S line AHK MATRIX 360° WÄRMEPUMPE
4,48980,50858.50883907345,1879.0,3.7,0.85038704,1598.0,55,Q4 e-tron,9970,26.0,250.0,487,Neumarkt,Fischer Automobile GmbH,Dealer,True,False,False,False,https://www.autoscout24.com/offers/audi-q4-e-tron-s-line-55-qu-ahk-21-p-dach-w-pumpe-electric-white-992c88f8-7c7b-48d1-83f3-600f1964fccb,Audi Q4 e-tron S-Line 55 qu. AHK/21''/P-Dach/W-Pumpe
5,27190,29069.83188811952,1880.0,6.5,0.7721985,1452.0,40,Q4 e-tron,64500,38.0,150.0,447,Wolfsburg,Audi Zentrum Wolfsburg GmbH,Dealer,False,False,False,False,https://www.autoscout24.com/offers/audi-q4-e-tron-40-basis-navi-einparkhi-led-electric-black-31a3f491-aa01-4f19-9baf-c2a85726a782,Audi Q4 e-tron 40 basis Navi/Einparkhi/LED
6,45880,47737.991801230215,1858.0,3.9,0.77578336,1441.0,55,Q4 e-tron,7271,28.0,250.0,488,Ursensollen,Fischer Automobile GmbH & Co. KG,Dealer,True,False,False,False,https://www.autoscout24.com/offers/audi-q4-e-tron-55-qu-s-line-dinamica-sonos-20-360-electric-grey-d5965376-523d-4aaf-a165-1234d7e86a02,Audi Q4 e-tron 55 qu. S line Dinamica/Sonos/20''/360
7,38590,40570.107709114964,1980.0,4.9,0.704769,1395.0,,Q4 e-tron,0,,150.0,429,Kassel,Audi Zentrum Kassel GmbH & Co.KG,Dealer,False,False,False,False,https://www.autoscout24.com/offers/audi-q4-e-tron-q4-suv-e-tron-neubestellung-mj-2027-electric-grey-84c9f21e-e3ea-46e5-bea6-edbe1c9b1ea0,Audi Q4 e-tron Q4 SUV e-tron NEUBESTELLUNG MJ 2027
8,48989,50619.38270453948,1630.0,3.2,0.8326618,1357.0,45,Q4 e-tron,8727,7.0,210.0,412,Eching,Audi München GmbH,Dealer,False,False,True,False,https://www.autoscout24.com/offers/audi-q4-e-tron-45-qu-advanced-matrix-leder-sonos-electric-white-d9376a9f-e9e9-4bf3-b155-be8573597a61,Audi Q4 e-tron 45 qu. advanced Matrix/Leder/SONOS
9,39480,40796.24083470661,1316.0,3.2,0.8737658,1150.0,50,Q4 e-tron Sportback,19294,36.0,220.0,420,Oberursel,Audi Zentrum Bad Homburg/Oberursel,Dealer,True,False,True,False,https://www.autoscout24.com/offers/audi-q4-e-tron-50-qu-s-line-navi-matrix-son-electric-grey-901c86c4-90d3-4b7c-8f8e-198ac06052db,Audi Q4 e-tron 50 qu S line*Navi*Matrix*SON
10,44469,45994.19102901028,1525.0,3.3,0.7498458,1144.0,45,Q4 e-tron Sportback,6897,9.0,210.0,412,Eching,Audi München GmbH,Dealer,False,False,False,False,https://www.autoscout24.com/offers/audi-q4-e-tron-45-advanced-ahk-navi-electric-white-2ee485ad-cd72-4261-82ad-2ed55b2da601,Audi Q4 e-tron 45 advanced AHK/Navi+
11,49759,51004.07170642355,1245.0,2.4,0.91710025,1142.0,45,Q4 e-tron,8914,9.0,210.0,475,Eching,Audi München GmbH,Dealer,True,False,True,False,https://www.autoscout24.com/offers/audi-q4-e-tron-45-s-line-ahk-navi-matrix-electric-grey-6b4fae1e-7487-4f92-a83d-6269dfb17a1d,Audi Q4 e-tron 45 S line AHK/Navi+/Matrix
12,44449,46012.06997829054,1563.0,3.4,0.7123919,1113.0,45,Q4 e-tron,9987,8.0,210.0,412,Eching,Audi München GmbH,Dealer,True,False,False,False,https://www.autoscout24.com/offers/audi-q4-e-tron-45-s-line-navi-20zoll-electric-blue-b2bbff8f-49f5-4ef4-a1e7-b610de7ceb55,"Audi Q4 e-tron 45 S line Navi+/20""Zoll"
13,48980,50334.81023671173,1355.0,2.7,0.8203241,1112.0,55,Q4 e-tron,13057,26.0,250.0,487,Neumarkt,Fischer Automobile GmbH,Dealer,True,False,False,False,https://www.autoscout24.com/offers/audi-q4-e-tron-s-line-55-qu-ahk-leder-p-dach-w-pumpe-electric-white-53531de2-2781-4f5e-8384-954e07153c39,Audi Q4 e-tron S line 55 qu. AHK/Leder/P-Dach/W-Pumpe
14,50652,52049.43500707355,1397.0,2.7,0.755624,1056.0,,Q4 e-tron Sportback,0,,,425,Singen,Gohm + Graf Hardenberg GmbH,Dealer,False,False,False,,https://www.autoscout24.com/offers/audi-q4-e-tron-q4-sportback-e-tron-electric-green-a8f2d9d7-a372-4647-b8c7-f1467fd8b4fc,Audi Q4 e-tron Q4 Sportback e-tron
15,49995,51469.8434619731,1475.0,2.9,0.6966926,1028.0,45,Q4 e-tron,10,1.0,210.0,464,Wörth a. d. Donau,Auto Hünn OHG,Dealer,True,True,False,False,https://www.autoscout24.com/offers/audi-q4-e-tron-45-basis-quattro-s-line-quattro-ahk-navi-mat-electric-black-e9bcdb4c-3482-4a48-83ac-ed4b140e2155,"Audi Q4 e-tron 45 basis quattro S-LINE quattro, AHK, Navi, Mat..."
16,49045,50982.20255933181,1937.0,3.8,0.5301916,1027.0,45,Q4 e-tron,10,1.0,210.0,464,Osnabrück,MFH Mehrmarken-Fahrzeughandel / Osna-Autos,Dealer,True,True,False,False,https://www.autoscout24.com/offers/audi-q4-e-tron-45-basis-quattro-s-line-quattro-ahk-navi-mat-electric-black-eb820eba-038d-41ea-8e7f-e0dc82e4cf34,"Audi Q4 e-tron 45 basis quattro S-LINE quattro, AHK, Navi, Mat..."
17,38990,40635.9059936261,1646.0,4.1,0.61493206,1012.0,45,Q4 e-tron Sportback,19000,17.0,210.0,315,Niebüll,Autohaus Kornkoog GmbH & Co. KG,Dealer,True,False,True,False,https://www.autoscout24.com/offers/audi-q4-e-tron-q4-45-sportback-s-line-e-tron-77kwh-matrix-navi-electric-grey-d5241e85-0f6f-4c15-a0c4-13a8436b167c,Audi Q4 e-tron Q4 45 Sportback S-Line e-tron 77kWh Matrix Navi
18,47995,49670.03082371274,1675.0,3.4,0.5977452,1001.0,45,Q4 e-tron,10,1.0,210.0,464,Wörth a. d. Donau,Auto Hünn OHG,Dealer,True,True,True,False,https://www.autoscout24.com/offers/audi-q4-e-tron-45-basis-quattro-s-line-quattro-navi-matrix-electric-grey-e1271860-3626-4160-9932-effacd6d9828,"Audi Q4 e-tron 45 basis quattro S-LINE quattro, Navi, Matrix, ..."
19,41980,43452.68390819237,1473.0,3.4,0.6637584,978.0,55,Q4 e-tron,11036,26.0,250.0,495,Neumarkt,Fischer Automobile GmbH,Dealer,False,True,False,False,https://www.autoscout24.com/offers/audi-q4-e-tron-55-quattro-leder-rfk-20-assi-plus-electric-silver-ca6a1918-85b6-43c1-a27a-efe6ea3de37f,Audi Q4 e-tron 55 quattro Leder/RFK/20''/Assi-Plus
20,29930,31533.80080606942,1604.0,5.1,0.56819147,911.0,40,Q4 e-tron,39600,37.0,150.0,447,Heilbronn,ASW Automobile GmbH & Co. KG,Dealer,False,False,False,False,https://www.autoscout24.com/offers/audi-q4-e-tron-q4-40-e-tron-led-navi-pdc-shz-tempomat-electric-black-2192c8a0-66cb-4296-b201-9ec3ef59f9dc,Audi Q4 e-tron Q4 40 e-tron LED Navi PDC SHZ Tempomat
21,48890,49962.07094822117,1072.0,2.1,0.8193416,878.0,55,Q4 e-tron,12450,26.0,250.0,486,Roth,Feser Joachim Automobil GmbH,Dealer,True,False,False,False,https://www.autoscout24.com/offers/audi-q4-e-tron-55-qu-2x-s-line-ahk-pano-360-waermepumpe-electric-white-e2351159-baba-47ee-8b60-71e035cc7177,Audi Q4 e-tron 55 qu 2x S line AHK PANO 360° WÄRMEPUMPE
22,43980,45040.16464221371,1060.0,2.4,0.75945663,805.0,55,Q4 e-tron,7904,14.0,250.0,514,Neumarkt,Fischer Automobile GmbH,Dealer,False,False,False,False,https://www.autoscout24.com/offers/audi-q4-e-tron-55-qu-w-pumpe-ahk-vorb-pdc-gra-electric-grey-256b75f5-8ae2-4d25-aff0-cf82b2c0c4df,Audi Q4 e-tron 55 qu. W-Pumpe/AHK-Vorb./PDC+/GRA
23,48995,50196.09343610963,1201.0,2.4,0.66548085,799.0,45,Q4 e-tron,10,1.0,210.0,464,Neukirchen,Auto Niedermayer GmbH,Dealer,True,True,True,False,https://www.autoscout24.com/offers/audi-q4-e-tron-45-s-line-quattro-ahk-navi-matrix-side-kamera-electric-black-9301f90f-d5f3-4d5d-bc6e-e40a7c0ed243,"Audi Q4 e-tron 45 S-LINE quattro, AHK, Navi, Matrix, Side, Kamera"
24,43929,45105.754070716226,1177.0,2.6,0.6471619,762.0,45,Q4 e-tron,6291,10.0,210.0,456,München,Audi München GmbH,Dealer,True,False,False,False,https://www.autoscout24.com/offers/audi-q4-e-tron-45-s-line-ahk-assistenz-electric-grey-bc885c3c-7bd7-4c2a-aadd-b923cf799d10,Audi Q4 e-tron 45 S line AHK/Assistenz
25,42210,43671.4646545436,1461.0,3.3,0.52155596,762.0,45,Q4 e-tron,8053,9.0,210.0,456,Mülheim a. d. Ruhr,Gottfried Schultz Automobilhandels SE,Dealer,False,False,False,False,https://www.autoscout24.com/offers/audi-q4-e-tron-45-basis-electric-grey-b2acc54e-2d70-432b-af58-b376e96e0305,Audi Q4 e-tron 45 basis
26,24790,25792.502420146273,1003.0,3.9,0.7321908,734.0,35,Q4 e-tron,47000,38.0,125.0,306,Finnentrop,Auerswald Automobile,Dealer,False,False,False,False,https://www.autoscout24.com/offers/audi-q4-e-tron-35-led-standheizung-pdc-dab-navi-electric-black-a0e26ef2-4919-4417-8262-1ac7503eb3e5,Audi Q4 e-tron 35 *LED *Standheizung *PDC *DAB *Navi
27,37990,39011.6747106388,1022.0,2.6,0.7071666,723.0,,Q4 e-tron,0,,150.0,429,Mühldorf am Inn,Autohaus Ostermaier GmbH,Dealer,False,False,False,,https://www.autoscout24.com/offers/audi-q4-e-tron-q4-suv-mit-eroberung-bev-sitzhg-navi-electric-grey-d978c86f-bc48-4150-96f0-fcbe666f9ee8,"Audi Q4 e-tron Q4 SUV (mit Eroberung BEV) SITZHG,NAVI"
28,37990,39011.6747106388,1022.0,2.6,0.7071666,723.0,,Q4 e-tron,0,,150.0,429,Mühldorf am Inn,Autohaus Ostermaier GmbH,Dealer,False,False,False,,https://www.autoscout24.com/offers/audi-q4-e-tron-suv-mit-eroberung-bev-sitzhg-navi-electric-grey-c7b5b3d1-e639-4786-ae77-e3634b48c2ba,"Audi Q4 e-tron SUV (mit Eroberung BEV) SITZHG,NAVI"
29,34530,35550.54866263093,1021.0,2.9,0.69695455,712.0,45,Q4 e-tron,17782,31.0,195.0,412,Ulm,Audi Zentrum Ulm Gebrauchtwagen,Dealer,False,True,False,False,https://www.autoscout24.com/offers/audi-q4-e-tron-q4-45-e-tron-quattro-kam-led-navi-shz-electric-grey-b040c872-37c6-4315-9620-c1fe08724e9b,Audi Q4 e-tron Q4 45 e-tron quattro KAM LED NAVI+ SHZ
30,38990,40159.30768858103,1169.0,2.9,0.59237945,692.0,45,Q4 e-tron,29000,19.0,210.0,517,Niebüll,Autohaus Kornkoog GmbH & Co. KG,Dealer,True,False,True,False,https://www.autoscout24.com/offers/audi-q4-e-tron-q4-45-e-tron-s-line-77-kwh-matrix-navi-led-klima-electric-black-af581301-d60e-4a0a-9029-d8167da482f8,Audi Q4 e-tron Q4 45 e-tron S-Line 77 kWh Matrix Navi LED Klima
31,27420,28651.676468511647,1232.0,4.3,0.5584007,688.0,40,Q4 e-tron,48225,38.0,150.0,498,Darmstadt,Autohaus J. Wiest+Söhne GmbH,Dealer,False,False,True,False,https://www.autoscout24.com/offers/audi-q4-e-tron-40-matrix-gra-klima-sportsitze-electric-grey-e0a057c5-7bd1-42e5-a3bf-c5d1fe2c68a2,"Audi Q4 e-tron 40, MATRIX/GRA/KLIMA/SPORTSITZE"
32,47990,49131.964289893,1142.0,2.3,0.57046455,651.0,45,Q4 e-tron,9077,9.0,210.0,475,Oberursel,Audi Zentrum Bad Homburg/Oberursel,Dealer,True,False,True,False,https://www.autoscout24.com/offers/audi-q4-e-tron-45-s-line-ar-hud-matrix-virt-electric-grey-57797125-79f7-4c3a-829e-1d971b82edc0,Audi Q4 e-tron 45 S line*AR-HUD*Matrix*Virt
33,40920,41807.56852388004,888.0,2.1,0.7308796,649.0,45,Q4 e-tron Sportback,24619,28.0,210.0,475,Böblingen-Hulb,Audi Stuttgart GmbH,Dealer,False,False,True,False,https://www.autoscout24.com/offers/audi-q4-e-tron-sportback-45-matrix-led-ahk-kamera-19-electric-violet-d60695f3-e314-4ad8-a288-767ffcd97c46,Audi Q4 e-tron Sportback 45 Matrix LED AHK Kamera 19'
34,28988,29767.471613834492,779.0,2.6,0.8295025,646.0,40,Q4 e-tron Sportback,72977,39.0,150.0,466,Leverkusen,Automobil Zentrum Leverkusen GmbH & Co. KG,Dealer,False,False,False,False,https://www.autoscout24.com/offers/audi-q4-e-tron-40-acc-navi-kam-sonos-pdc-electric-grey-928b39de-169f-4f4e-bae5-f8b7c97655c2,Audi Q4 e-tron 40 ACC NAVI KAM SONOS PDC
35,48995,49922.55501614359,928.0,1.9,0.6806734,632.0,45,Q4 e-tron,10,1.0,210.0,464,Wörth a. d. Donau,Auto Hünn OHG,Dealer,True,True,True,False,https://www.autoscout24.com/offers/audi-q4-e-tron-45-basis-quattro-s-line-quattro-navi-matrix-electric-black-8084102c-0851-4833-80da-59266d54a56d,"Audi Q4 e-tron 45 basis quattro S-LINE quattro, Navi, Matrix, ..."
36,27380,28175.07725636399,795.0,2.8,0.7827429,622.0,,Q4 e-tron Sportback,57149,56.0,150.0,479,Gersthofen,Schwaba Gebrauchtwagenzentrum,Dealer,False,False,False,False,https://www.autoscout24.com/offers/audi-q4-e-tron-electric-grey-e1967086-20ae-4fe3-9d7e-8ec4605b751d,Audi Q4 e-tron .
37,48995,49912.39620660427,917.0,1.8,0.66626745,611.0,45,Q4 e-tron,10,1.0,210.0,464,Neukirchen,Auto Niedermayer GmbH,Dealer,True,True,True,False,https://www.autoscout24.com/offers/audi-q4-e-tron-45-s-line-quattro-ahk-navi-matrix-side-kamera-electric-black-e5f2fff8-5cd7-4486-83d5-78ac51642220,"Audi Q4 e-tron 45 S-LINE quattro, AHK, Navi, Matrix, Side, Kamera"
